Origin_Country,Age_Arrived,Sex,Years_as_Resident,Native_Language,Target_Language,Education_days,Enrolled_Coruse,Speaking,Written_Understanding
SouthAfrica,25,Female,0,Afrikaans,English,4,93,496,0.010463
SouthAfrica,47,Male,2,Afrikaans,German,4,93,542,0.010463
SouthAfrica,23,Female,23,Afrikaans,Monolingual,3,93,585,0.010463
SouthAfrica,42,Female,2,Afrikaans,Monolingual,2,93,521,0.010463
SouthAfrica,22,Female,19,Afrikaans,Monolingual,3,93,639,0.010463
SouthAfrica,37,Male,2,Afrikaans,Monolingual,1,93,531,0.010463
SouthAfrica,22,Female,6,Afrikaans,Monolingual,4,93,566,0.010463
Sudan,31,Male,3,Afrikaans,English,4,31,439,0.010463
Sudan,25,Male,4,Afrikaans,English,4,31,480,0.010463
Afghanistan,23,Female,3,Afrikaans,Monolingual,4,19,505,0.010463
Afghanistan,20,Female,4,Afrikaans,Russian,2,19,524,0.010463
"Congo,Republic",28,Male,2,Afrikaans,French,3,43,540,0.010463
Morocco,17,Male,13,Afrikaans,French,2,49,561,0.010463
Afghanistan,19,Female,3,Afrikaans,German,3,19,539,0.010463
SouthAfrica,21,Male,1,Afrikaans,English,3,93,518,0.010463
Burundi,16,Male,2,Afrikaans,English,3,13,491,0.010463
Kenya,38,Female,2,Afrikaans,English,4,48,527,0.010463
Kenya,29,Female,2,Afrikaans,English,3,48,494,0.010463
CzechRepublic,35,Male,5,Afrikaans,English,4,95,531,0.010463
"Korea,South",37,Female,7,Afrikaans,English,4,97,598,0.010463
Burundi,40,Male,4,Afrikaans,French,4,13,495,0.010463
Burundi,23,Male,2,Afrikaans,French,3,13,465,0.010463
SouthAfrica,36,Female,4,Afrikaans,English,4,93,526,0.010463
Cameroon,30,Male,4,Afrikaans,French,4,27,463,0.010463
SouthAfrica,25,Female,0,Afrikaans,English,4,93,552,0.010463
SouthAfrica,35,Female,3,Afrikaans,English,3,93,568,0.010463
SouthAfrica,34,Female,1,Afrikaans,English,4,93,529,0.010463
SouthAfrica,41,Male,2,Afrikaans,English,4,93,519,0.010463
SouthAfrica,20,Female,2,Afrikaans,English,3,93,525,0.010463
SouthAfrica,23,Female,2,Afrikaans,English,3,93,583,0.010463
Senegal,28,Male,2,Afrikaans,French,3,23,505,0.010463
SouthAfrica,28,Female,2,Afrikaans,English,3,93,543,0.010463
SouthAfrica,30,Male,3,Afrikaans,English,3,93,554,0.010463
SouthAfrica,27,Female,4,Afrikaans,English,2,93,561,0.010463
Ghana,27,Female,4,Afrikaans,English,4,46,437,0.010463
SouthAfrica,20,Male,1,Afrikaans,English,3,93,583,0.010463
SouthAfrica,41,Female,6,Afrikaans,English,4,93,549,0.010463
SouthAfrica,23,Male,3,Afrikaans,English,4,93,503,0.010463
SouthAfrica,39,Male,3,Afrikaans,English,4,93,513,0.010463
SouthAfrica,27,Female,2,Afrikaans,English,4,93,524,0.010463
SouthAfrica,29,Male,3,Afrikaans,English,4,93,552,0.010463
SouthAfrica,26,Male,2,Afrikaans,English,3,93,566,0.010463
SouthAfrica,31,Female,9,Afrikaans,English,4,93,539,0.010463
SouthAfrica,35,Female,2,Afrikaans,English,3,93,597,0.010463
SouthAfrica,35,Female,3,Afrikaans,English,4,93,555,0.010463
SouthAfrica,29,Female,5,Afrikaans,English,3,93,529,0.010463
SouthAfrica,34,Female,3,Afrikaans,English,4,93,564,0.010463
SouthAfrica,24,Female,3,Afrikaans,English,4,93,576,0.010463
SouthAfrica,41,Female,1,Afrikaans,English,4,93,538,0.010463
SouthAfrica,32,Female,2,Afrikaans,English,4,93,562,0.010463
SouthAfrica,25,Female,1,Afrikaans,English,3,93,574,0.010463
SouthAfrica,20,Female,2,Afrikaans,English,3,93,537,0.010463
SouthAfrica,20,Female,1,Afrikaans,English,3,93,547,0.010463
SouthAfrica,33,Male,3,Afrikaans,English,4,93,526,0.010463
SouthAfrica,35,Female,8,Afrikaans,English,4,93,640,0.010463
SouthAfrica,46,Male,1,Afrikaans,English,3,93,525,0.010463
SouthAfrica,24,Male,1,Afrikaans,English,4,93,550,0.010463
SouthAfrica,36,Male,2,Afrikaans,English,3,93,523,0.010463
SouthAfrica,48,Female,6,Afrikaans,English,4,93,530,0.010463
SouthAfrica,26,Female,1,Afrikaans,English,4,93,537,0.010463
SouthAfrica,40,Female,3,Afrikaans,English,4,93,530,0.010463
SouthAfrica,28,Male,0,Afrikaans,English,4,93,530,0.010463
SouthAfrica,19,Female,2,Afrikaans,English,3,93,514,0.010463
SouthAfrica,23,Female,2,Afrikaans,English,3,93,525,0.010463
SouthAfrica,25,Male,2,Afrikaans,English,4,93,628,0.010463
SouthAfrica,23,Female,1,Afrikaans,English,1,93,580,0.010463
SouthAfrica,28,Female,3,Afrikaans,English,2,93,570,0.010463
SouthAfrica,27,Male,5,Afrikaans,English,3,93,564,0.010463
Canada,30,Female,1,Afrikaans,English,4,101,571,0.010463
Turkey,26,Male,1,Afrikaans,French,3,79,541,0.010463
SouthAfrica,26,Male,3,Afrikaans,English,4,93,533,0.010463
SouthAfrica,20,Male,1,Afrikaans,English,2,93,614,0.010463
SouthAfrica,23,Female,4,Afrikaans,English,1,93,581,0.010463
SouthAfrica,35,Female,1,Afrikaans,English,3,93,538,0.010463
SouthAfrica,32,Female,1,Afrikaans,English,4,93,541,0.010463
SouthAfrica,24,Female,3,Afrikaans,English,4,93,596,0.010463
SouthAfrica,57,Female,2,Afrikaans,English,3,93,513,0.010463
SouthAfrica,19,Female,1,Afrikaans,English,3,93,516,0.010463
SouthAfrica,40,Female,2,Afrikaans,English,4,93,559,0.010463
SouthAfrica,33,Male,3,Afrikaans,English,1,93,541,0.010463
SouthAfrica,32,Male,1,Afrikaans,English,4,93,548,0.010463
SouthAfrica,32,Male,1,Afrikaans,English,4,93,531,0.010463
Zimbabwe,27,Male,3,Afrikaans,English,3,37,591,0.010463
SouthAfrica,23,Female,1,Afrikaans,English,3,93,576,0.010463
SouthAfrica,26,Male,2,Afrikaans,English,4,93,559,0.010463
SouthAfrica,30,Male,5,Afrikaans,English,3,93,544,0.010463
SouthAfrica,26,Female,7,Afrikaans,English,4,93,533,0.010463
SouthAfrica,23,Male,5,Afrikaans,English,3,93,552,0.010463
SouthAfrica,48,Male,1,Afrikaans,English,4,93,573,0.010463
SouthAfrica,26,Female,1,Afrikaans,English,4,93,551,0.010463
SouthAfrica,18,Female,3,Afrikaans,English,3,93,591,0.010463
SouthAfrica,36,Female,1,Afrikaans,English,3,93,537,0.010463
SouthAfrica,30,Female,1,Afrikaans,English,3,93,535,0.010463
SouthAfrica,19,Female,0,Afrikaans,English,3,93,557,0.010463
SouthAfrica,23,Female,2,Afrikaans,English,4,93,590,0.010463
SouthAfrica,36,Female,3,Afrikaans,English,4,93,555,0.010463
Rwanda,28,Male,3,Afrikaans,French,3,16,484,0.010463
SouthAfrica,21,Female,2,Afrikaans,English,3,93,580,0.010463
SouthAfrica,22,Female,9,Afrikaans,English,3,93,523,0.010463
SouthAfrica,27,Female,2,Afrikaans,English,4,93,567,0.010463
SouthAfrica,21,Female,1,Afrikaans,English,3,93,609,0.010463
SouthAfrica,52,Female,1,Afrikaans,English,4,93,471,0.010463
SouthAfrica,20,Male,2,Afrikaans,English,3,93,539,0.010463
SouthAfrica,46,Female,2,Afrikaans,English,4,93,540,0.010463
SouthAfrica,41,Male,7,Afrikaans,English,4,93,522,0.010463
SouthAfrica,21,Female,8,Afrikaans,English,4,93,523,0.010463
SouthAfrica,32,Male,3,Afrikaans,English,4,93,559,0.010463
SouthAfrica,25,Female,2,Afrikaans,English,1,93,560,0.010463
SouthAfrica,34,Female,2,Afrikaans,English,3,93,567,0.010463
SouthAfrica,33,Female,4,Afrikaans,English,3,93,509,0.010463
SouthAfrica,19,Female,2,Afrikaans,English,3,93,542,0.010463
SouthAfrica,25,Female,1,Afrikaans,English,4,93,581,0.010463
SouthAfrica,25,Female,2,Afrikaans,English,1,93,535,0.010463
SouthAfrica,29,Male,11,Afrikaans,English,3,93,623,0.010463
SouthAfrica,22,Female,1,Afrikaans,English,3,93,539,0.010463
SouthAfrica,28,Female,1,Afrikaans,English,3,93,551,0.010463
SouthAfrica,20,Female,3,Afrikaans,English,4,93,540,0.010463
SouthAfrica,28,Female,1,Afrikaans,English,4,93,564,0.010463
SouthAfrica,27,Male,1,Afrikaans,English,4,93,563,0.010463
SouthAfrica,25,Female,3,Afrikaans,English,2,93,548,0.010463
SouthAfrica,39,Male,1,Afrikaans,English,3,93,501,0.010463
SouthAfrica,24,Female,1,Afrikaans,English,4,93,562,0.010463
SouthAfrica,20,Female,6,Afrikaans,English,4,93,553,0.010463
SouthAfrica,32,Male,3,Afrikaans,English,4,93,547,0.010463
SouthAfrica,25,Female,2,Afrikaans,English,1,93,544,0.010463
SouthAfrica,25,Female,2,Afrikaans,English,2,93,492,0.010463
SouthAfrica,34,Female,3,Afrikaans,English,4,93,582,0.010463
SouthAfrica,29,Male,2,Afrikaans,English,3,93,557,0.010463
SouthAfrica,44,Male,5,Afrikaans,English,2,93,554,0.010463
SouthAfrica,24,Female,1,Afrikaans,English,3,93,537,0.010463
SouthAfrica,28,Female,2,Afrikaans,English,3,93,540,0.010463
SouthAfrica,22,Female,0,Afrikaans,English,3,93,523,0.010463
SouthAfrica,24,Female,1,Afrikaans,English,4,93,548,0.010463
SouthAfrica,31,Female,1,Afrikaans,English,4,93,565,0.010463
SouthAfrica,24,Female,4,Afrikaans,English,4,93,556,0.010463
SouthAfrica,44,Male,1,Afrikaans,English,4,93,534,0.010463
SouthAfrica,30,Male,1,Afrikaans,English,4,93,529,0.010463
Rwanda,22,Male,2,Afrikaans,French,3,16,495,0.010463
SouthAfrica,26,Male,5,Afrikaans,English,4,93,550,0.010463
SouthAfrica,27,Female,7,Afrikaans,English,4,93,551,0.010463
Cameroon,38,Male,12,Afrikaans,French,3,27,519,0.010463
SouthAfrica,37,Female,1,Afrikaans,English,2,93,492,0.010463
SouthAfrica,32,Female,3,Afrikaans,Afrikaans,4,93,526,0.010463
SouthAfrica,19,Female,1,Afrikaans,English,3,93,535,0.010463
SouthAfrica,31,Female,1,Afrikaans,English,4,93,515,0.010463
SouthAfrica,32,Female,5,Afrikaans,English,3,93,542,0.010463
SouthAfrica,30,Female,5,Afrikaans,English,4,93,611,0.010463
SouthAfrica,45,Male,1,Afrikaans,English,2,93,551,0.010463
Netherlands,32,Female,1,Afrikaans,English,4,118,640,0.010463
SouthAfrica,35,Male,2,Afrikaans,English,4,93,537,0.010463
SouthAfrica,38,Female,6,Afrikaans,English,4,93,538,0.010463
SouthAfrica,31,Female,1,Afrikaans,English,4,93,495,0.010463
SouthAfrica,18,Male,2,Afrikaans,English,3,93,516,0.010463
SouthAfrica,28,Female,2,Afrikaans,English,4,93,514,0.010463
SouthAfrica,39,Female,1,Afrikaans,English,4,93,514,0.010463
SouthAfrica,15,Male,7,Afrikaans,English,3,93,593,0.010463
SouthAfrica,33,Female,3,Afrikaans,English,1,93,557,0.010463
SouthAfrica,25,Female,6,Afrikaans,English,3,93,562,0.010463
SouthAfrica,28,Female,1,Afrikaans,English,3,93,501,0.010463
SouthAfrica,39,Female,1,Afrikaans,English,4,93,541,0.010463
SouthAfrica,25,Male,1,Afrikaans,English,3,93,573,0.010463
SouthAfrica,27,Female,1,Afrikaans,English,3,93,534,0.010463
SouthAfrica,29,Female,2,Afrikaans,English,1,93,503,0.010463
SouthAfrica,27,Female,1,Afrikaans,English,3,93,545,0.010463
SouthAfrica,20,Female,1,Afrikaans,English,3,93,548,0.010463
SouthAfrica,30,Female,1,Afrikaans,English,4,93,503,0.010463
